Div;Date;HomeTeam;AwayTeam;KEY;Home_Team Size;Home_Market Value total;Home_Market Value avg;Away_Team Size;Away_Market Value total;Away_Market Value avg;HS (Home Team Shots);AS (Away Team Shots);HAST (Home Team Shots on Target);AST (Away Team Shots on Target);HF (Home Team Fouls Committed);AF (Away Team Fouls Committed);HC (Home Team Corners);AC (Away Team Corners);HY (Home Team Yellow Cards);AY (Away Team Yellow Cards);HR (Home Team Red Cards);AR (Away Team Red Cards);Home #Win;Home #Draw;Home #Defeat;Away #Win;Away #Draw;Away #Defeat;Home goals scored;Home goals collected;Away goals scored;Away goals collected;Home Position in the table;Away Position in the table
D1;05.05.2019;SC Freiburg;Fortuna Düsseldorf;05.05.19_SC Freiburg_Fortuna Düsseldorf;29;108,60;3,74;31;67,80;2,19;222;202;89;81;184;200;74;68;23;38;2;0;7;11;13;12;4;15;40;56;44;60;13;10
D1;11.05.2019;1. FC Nürnberg;Borussia Mönchengladbach;11.05.19_1. FC Nürnberg_Borussia Mönchengladbach;29;52,60;1,81;29;299,60;10,33;197;195;55;72;193;165;87;88;31;25;0;0;3;10;19;15;7;10;25;59;51;40;17;6
D1;11.05.2019;RB Leipzig;FC Bayern München;11.05.19_RB Leipzig_FC Bayern München;26;432,30;16,63;25;772,00;30,88;270;309;96;129;203;148;90;136;30;26;0;1;19;8;5;23;5;4;62;27;83;31;3;1
D1;11.05.2019;Bayer 04 Leverkusen;FC Schalke 04;11.05.19_Bayer 04 Leverkusen_FC Schalke 04;25;387,25;15,49;30;239,80;7,99;285;191;105;70;164;215;108;82;23;41;0;1;17;3;12;8;7;17;63;50;36;54;5;15
D1;11.05.2019;Borussia Dortmund;Fortuna Düsseldorf;11.05.19_Borussia Dortmund_Fortuna Düsseldorf;25;602,30;24,09;31;67,80;2,19;234;210;103;84;134;212;81;72;16;38;2;1;21;7;4;12;5;15;76;42;45;61;2;10
D1;11.05.2019;FC Augsburg;Hertha BSC Berlin;11.05.19_FC Augsburg_Hertha BSC Berlin;32;113,05;3,53;31;203,50;6,56;251;197;99;72;216;196;79;72;21;34;0;3;8;8;16;10;10;12;47;59;44;49;14;11
D1;11.05.2019;Hannover 96;SC Freiburg;11.05.19_Hannover 96_SC Freiburg;31;113,70;3,67;29;108,60;3,74;203;182;62;66;223;188;72;73;28;31;0;1;4;6;22;7;12;13;27;69;41;57;18;13
D1;11.05.2019;VfB Stuttgart;VfL Wolfsburg;11.05.19_VfB Stuttgart_VfL Wolfsburg;27;160,20;5,93;27;176,90;6,55;224;194;67;74;181;181;90;74;31;39;2;0;6;6;20;15;7;10;29;70;54;46;16;7
D1;11.05.2019;1899 Hoffenheim;Werder Bremen;11.05.19_1899 Hoffenheim_Werder Bremen;26;275,75;10,61;28;140,75;5,03;335;209;107;89;205;207;99;81;29;40;0;2;13;12;7;12;11;9;68;47;55;48;8;9
D1;12.05.2019;Eintracht Frankfurt;FSV Mainz 05;12.05.19_Eintracht Frankfurt_FSV Mainz 05;34;261,70;7,70;31;133,00;4,29;229;215;87;69;189;196;107;75;27;24;2;0;15;9;8;10;7;15;59;41;40;55;4;12
D1;18.05.2019;SC Freiburg;1. FC Nürnberg;18.05.19_SC Freiburg_1. FC Nürnberg;29;108,60;3,74;29;52,60;1,81;240;158;97;49;199;183;78;64;25;28;2;4;7;12;14;3;10;20;41;60;25;63;13;18
D1;18.05.2019;FSV Mainz 05;1899 Hoffenheim;18.05.19_FSV Mainz 05_1899 Hoffenheim;31;133,00;4,29;26;275,75;10,61;280;271;82;118;208;246;75;83;33;40;0;2;11;7;15;13;12;8;42;55;68;48;12;8
D1;18.05.2019;Hertha BSC Berlin;Bayer 04 Leverkusen;18.05.19_Hertha BSC Berlin_Bayer 04 Leverkusen;31;203,50;6,56;25;387,25;15,49;204;231;77;92;222;185;75;81;33;27;2;1;11;10;12;17;4;12;48;52;64;51;10;5
D1;18.05.2019;Borussia Mönchengladbach;Borussia Dortmund;18.05.19_Borussia Mönchengladbach_Borussia Dortmund;29;299,60;10,33;25;602,30;24,09;262;217;86;81;145;145;101;87;18;24;0;1;16;7;10;22;7;4;55;40;79;44;4;2
D1;18.05.2019;FC Bayern München;Eintracht Frankfurt;18.05.19_FC Bayern München_Eintracht Frankfurt;25;772,00;30,88;34;261,70;7,70;327;184;126;66;130;200;151;72;18;33;1;1;23;6;4;15;9;9;83;31;59;43;1;6
D1;18.05.2019;VfL Wolfsburg;FC Augsburg;18.05.19_VfL Wolfsburg_FC Augsburg;27;176,90;6,55;32;113,05;3,53;228;207;92;66;159;223;101;63;23;34;0;1;15;7;11;8;8;17;54;49;50;63;7;14
D1;18.05.2019;Fortuna Düsseldorf;Hannover 96;18.05.19_Fortuna Düsseldorf_Hannover 96;31;67,80;2,19;31;113,70;3,67;212;177;79;60;200;173;72;71;29;36;0;4;12;5;16;5;6;22;47;64;30;69;11;17
D1;18.05.2019;Werder Bremen;RB Leipzig;18.05.19_Werder Bremen_RB Leipzig;28;140,75;5,03;26;432,30;16,63;258;222;87;86;198;239;87;100;24;31;1;1;13;11;9;19;9;5;56;48;62;27;9;3
D1;18.05.2019;FC Schalke 04;VfB Stuttgart;18.05.19_FC Schalke 04_VfB Stuttgart;30;239,80;7,99;27;160,20;5,93;227;181;63;47;207;169;73;80;32;35;4;3;8;8;17;7;6;20;37;55;32;70;15;16
