KEY;FTHG (Full Time Home Team Goals9;FTAG (Full Time Away Team Goals);FTR (Full Time Result);HTHG (Half Time Home Team Goals);HTAG (Half Time Away Team Goals);HTR (Half Time Result)
08.12.18_Hertha BSC Berlin_Eintracht Frankfurt;1;0;Home Win;1;0;Home Win
08.12.18_Bayer 04 Leverkusen_FC Augsburg;1;0;Home Win;0;0;Draw
08.12.18_FC Schalke 04_Borussia Dortmund;1;2;Away Win;0;1;Away Win
08.12.18_VfL Wolfsburg_1899 Hoffenheim;2;2;Draw;2;1;Home Win
09.12.18_FSV Mainz 05_Hannover 96;1;1;Draw;0;1;Away Win
09.12.18_Borussia Mönchengladbach_VfB Stuttgart;3;0;Home Win;0;0;Draw
14.12.18_1. FC Nürnberg_VfL Wolfsburg;0;2;Away Win;0;0;Draw
15.12.18_FC Augsburg_FC Schalke 04;1;1;Draw;1;0;Home Win
15.12.18_Borussia Dortmund_Werder Bremen;2;1;Home Win;2;1;Home Win
15.12.18_Fortuna Düsseldorf_SC Freiburg;2;0;Home Win;0;0;Draw
15.12.18_Hannover 96_FC Bayern München;0;4;Away Win;0;2;Away Win
15.12.18_1899 Hoffenheim_Borussia Mönchengladbach;0;0;Draw;0;0;Draw
15.12.18_VfB Stuttgart_Hertha BSC Berlin;2;1;Home Win;0;1;Away Win
16.12.18_Eintracht Frankfurt_Bayer 04 Leverkusen;2;1;Home Win;1;0;Home Win
16.12.18_RB Leipzig_FSV Mainz 05;4;1;Home Win;2;1;Home Win
18.12.18_Fortuna Düsseldorf_Borussia Dortmund;2;1;Home Win;1;0;Home Win
18.12.18_Hertha BSC Berlin_FC Augsburg;2;2;Draw;2;2;Draw
18.12.18_Borussia Mönchengladbach_1. FC Nürnberg;2;0;Home Win;0;0;Draw
18.12.18_VfL Wolfsburg_VfB Stuttgart;2;0;Home Win;2;0;Home Win
19.12.18_FC Bayern München_RB Leipzig;1;0;Home Win;0;0;Draw
19.12.18_SC Freiburg_Hannover 96;1;1;Draw;1;1;Draw
19.12.18_FSV Mainz 05_Eintracht Frankfurt;2;2;Draw;2;2;Draw
19.12.18_FC Schalke 04_Bayer 04 Leverkusen;1;2;Away Win;1;2;Away Win
19.12.18_Werder Bremen_1899 Hoffenheim;1;1;Draw;0;1;Away Win
21.12.18_Borussia Dortmund_Borussia Mönchengladbach;2;1;Home Win;1;1;Draw
22.12.18_Eintracht Frankfurt_FC Bayern München;0;3;Away Win;0;1;Away Win
22.12.18_Hannover 96_Fortuna Düsseldorf;0;1;Away Win;0;0;Draw
22.12.18_Bayer 04 Leverkusen_Hertha BSC Berlin;3;1;Home Win;2;1;Home Win
22.12.18_1. FC Nürnberg_SC Freiburg;0;1;Away Win;0;1;Away Win
22.12.18_RB Leipzig_Werder Bremen;3;2;Home Win;2;0;Home Win
22.12.18_VfB Stuttgart_FC Schalke 04;1;3;Away Win;0;1;Away Win
23.12.18_FC Augsburg_VfL Wolfsburg;2;3;Away Win;0;2;Away Win
23.12.18_1899 Hoffenheim_FSV Mainz 05;1;1;Draw;1;1;Draw
18.01.19_1899 Hoffenheim_FC Bayern München;1;3;Away Win;0;2;Away Win
19.01.19_FC Augsburg_Fortuna Düsseldorf;1;2;Away Win;0;1;Away Win
19.01.19_Eintracht Frankfurt_SC Freiburg;3;1;Home Win;3;0;Home Win
19.01.19_Hannover 96_Werder Bremen;0;1;Away Win;0;1;Away Win
19.01.19_Bayer 04 Leverkusen_Borussia Mönchengladbach;0;1;Away Win;0;1;Away Win
19.01.19_RB Leipzig_Borussia Dortmund;0;1;Away Win;0;1;Away Win
19.01.19_VfB Stuttgart_FSV Mainz 05;2;3;Away Win;0;2;Away Win
20.01.19_1. FC Nürnberg_Hertha BSC Berlin;1;3;Away Win;1;1;Draw
20.01.19_FC Schalke 04_VfL Wolfsburg;2;1;Home Win;1;1;Draw
25.01.19_Hertha BSC Berlin_FC Schalke 04;2;2;Draw;2;2;Draw
26.01.19_Borussia Dortmund_Hannover 96;5;1;Home Win;1;0;Home Win
26.01.19_SC Freiburg_1899 Hoffenheim;2;4;Away Win;1;1;Draw
26.01.19_FSV Mainz 05_1. FC Nürnberg;2;1;Home Win;1;1;Draw
26.01.19_Borussia Mönchengladbach_FC Augsburg;2;0;Home Win;0;0;Draw
26.01.19_Werder Bremen_Eintracht Frankfurt;2;2;Draw;1;1;Draw
26.01.19_VfL Wolfsburg_Bayer 04 Leverkusen;0;3;Away Win;0;1;Away Win
27.01.19_FC Bayern München_VfB Stuttgart;4;1;Home Win;1;1;Draw
27.01.19_Fortuna Düsseldorf_RB Leipzig;0;4;Away Win;0;3;Away Win
01.02.19_Hannover 96_RB Leipzig;0;3;Away Win;0;1;Away Win
02.02.19_Eintracht Frankfurt_Borussia Dortmund;1;1;Draw;1;1;Draw
02.02.19_Hertha BSC Berlin_VfL Wolfsburg;0;1;Away Win;0;0;Draw
02.02.19_1899 Hoffenheim_Fortuna Düsseldorf;1;1;Draw;1;0;Home Win
02.02.19_Bayer 04 Leverkusen_FC Bayern München;3;1;Home Win;0;1;Away Win
02.02.19_1. FC Nürnberg_Werder Bremen;1;1;Draw;0;0;Draw
02.02.19_FC Schalke 04_Borussia Mönchengladbach;0;2;Away Win;0;0;Draw
03.02.19_FC Augsburg_FSV Mainz 05;3;0;Home Win;2;0;Home Win
03.02.19_VfB Stuttgart_SC Freiburg;2;2;Draw;0;1;Away Win
08.02.19_FSV Mainz 05_Bayer 04 Leverkusen;1;5;Away Win;1;4;Away Win
09.02.19_FC Bayern München_FC Schalke 04;3;1;Home Win;2;1;Home Win
09.02.19_Borussia Dortmund_1899 Hoffenheim;3;3;Draw;2;0;Home Win
09.02.19_SC Freiburg_VfL Wolfsburg;3;3;Draw;1;1;Draw
09.02.19_Hannover 96_1. FC Nürnberg;2;0;Home Win;1;0;Home Win
09.02.19_Borussia Mönchengladbach_Hertha BSC Berlin;0;3;Away Win;0;1;Away Win
09.02.19_RB Leipzig_Eintracht Frankfurt;0;0;Draw;0;0;Draw
10.02.19_Fortuna Düsseldorf_VfB Stuttgart;3;0;Home Win;1;0;Home Win
10.02.19_Werder Bremen_FC Augsburg;4;0;Home Win;3;0;Home Win
15.02.19_FC Augsburg_FC Bayern München;2;3;Away Win;2;2;Draw
16.02.19_Hertha BSC Berlin_Werder Bremen;1;1;Draw;1;0;Home Win
16.02.19_1899 Hoffenheim_Hannover 96;3;0;Home Win;2;0;Home Win
16.02.19_FC Schalke 04_SC Freiburg;0;0;Draw;0;0;Draw
16.02.19_VfB Stuttgart_RB Leipzig;1;3;Away Win;1;1;Draw
16.02.19_VfL Wolfsburg_FSV Mainz 05;3;0;Home Win;1;0;Home Win
17.02.19_Eintracht Frankfurt_Borussia Mönchengladbach;1;1;Draw;1;0;Home Win
17.02.19_Bayer 04 Leverkusen_Fortuna Düsseldorf;2;0;Home Win;1;0;Home Win
18.02.19_1. FC Nürnberg_Borussia Dortmund;0;0;Draw;0;0;Draw
22.02.19_Werder Bremen_VfB Stuttgart;1;1;Draw;1;1;Draw
23.02.19_FC Bayern München_Hertha BSC Berlin;1;0;Home Win;0;0;Draw
23.02.19_Fortuna Düsseldorf_1. FC Nürnberg;2;1;Home Win;0;1;Away Win
23.02.19_SC Freiburg_FC Augsburg;5;1;Home Win;3;0;Home Win
23.02.19_FSV Mainz 05_FC Schalke 04;3;0;Home Win;1;0;Home Win
23.02.19_Borussia Mönchengladbach_VfL Wolfsburg;0;3;Away Win;0;1;Away Win
24.02.19_Borussia Dortmund_Bayer 04 Leverkusen;3;2;Home Win;2;1;Home Win
24.02.19_Hannover 96_Eintracht Frankfurt;0;3;Away Win;0;0;Draw
25.02.19_RB Leipzig_1899 Hoffenheim;1;1;Draw;0;1;Away Win
01.03.19_FC Augsburg_Borussia Dortmund;2;1;Home Win;1;0;Home Win
02.03.19_Eintracht Frankfurt_1899 Hoffenheim;3;2;Home Win;1;1;Draw
02.03.19_Hertha BSC Berlin_FSV Mainz 05;2;1;Home Win;0;0;Draw
02.03.19_Bayer 04 Leverkusen_SC Freiburg;2;0;Home Win;1;0;Home Win
02.03.19_Borussia Mönchengladbach_FC Bayern München;1;5;Away Win;1;2;Away Win
02.03.19_1. FC Nürnberg_RB Leipzig;0;1;Away Win;0;1;Away Win
02.03.19_FC Schalke 04_Fortuna Düsseldorf;0;4;Away Win;0;1;Away Win
03.03.19_VfB Stuttgart_Hannover 96;5;1;Home Win;3;0;Home Win
03.03.19_VfL Wolfsburg_Werder Bremen;1;1;Draw;0;0;Draw
08.03.19_Werder Bremen_FC Schalke 04;4;2;Home Win;1;1;Draw
09.03.19_FC Bayern München_VfL Wolfsburg;6;0;Home Win;2;0;Home Win
09.03.19_Borussia Dortmund_VfB Stuttgart;3;1;Home Win;0;0;Draw
09.03.19_SC Freiburg_Hertha BSC Berlin;2;1;Home Win;1;0;Home Win
09.03.19_FSV Mainz 05_Borussia Mönchengladbach;0;1;Away Win;0;0;Draw
09.03.19_RB Leipzig_FC Augsburg;0;0;Draw;0;0;Draw
10.03.19_Hannover 96_Bayer 04 Leverkusen;2;3;Away Win;0;2;Away Win
10.03.19_1899 Hoffenheim_1. FC Nürnberg;2;1;Home Win;1;0;Home Win
